"month","prc_of_discount_transaction"
"2020-07-01 00:00:00+02","0.081"
"2020-08-01 00:00:00+02","0.013"
"2020-09-01 00:00:00+02","0.007"
"2020-10-01 00:00:00+02","0.008"
"2020-11-01 00:00:00+01","0.006"
"2020-12-01 00:00:00+01","0.021"
"2021-01-01 00:00:00+01","0.017"
"2021-02-01 00:00:00+01","0.012"
"2021-03-01 00:00:00+01","0.004"
"2021-04-01 00:00:00+02","0.014"
"2021-05-01 00:00:00+02","0.008"
"2021-06-01 00:00:00+02","0.007"
"2021-07-01 00:00:00+02","0.042"
"2021-08-01 00:00:00+02","0.119"
"2021-09-01 00:00:00+02","0.112"
"2021-10-01 00:00:00+02","0.121"
"2021-11-01 00:00:00+01","0.147"
"2021-12-01 00:00:00+01","0.044"
"2022-01-01 00:00:00+01","0.016"
"2022-02-01 00:00:00+01","0.022"
"2022-03-01 00:00:00+01","0.068"
"2022-04-01 00:00:00+02","0.054"
"2022-05-01 00:00:00+02","0.053"
"2022-06-01 00:00:00+02","0.012"
"2022-07-01 00:00:00+02","0.058"
"2022-08-01 00:00:00+02","0.104"
"2022-09-01 00:00:00+02","0.163"
"2022-10-01 00:00:00+02","0.112"
"2022-11-01 00:00:00+01","0.060"
"2022-12-01 00:00:00+01","0.035"
"2023-01-01 00:00:00+01","0.040"
"2023-02-01 00:00:00+01","0.079"
"2023-03-01 00:00:00+01","0.115"
"2023-04-01 00:00:00+02","0.111"
"2023-05-01 00:00:00+02","0.059"
"2023-06-01 00:00:00+02","0.083"
