"extract","category_name","profit_value"
"2020","Aquatic Tuberous Vegetables","15256188.45373"
"2020","Cabbage","29084735.93574"
"2020","Capsicum","15443967.74451"
"2020","Edible Mushroom","36272161.95338"
"2020","Flower/Leaf Vegetables","63896252.65634"
"2020","Solanum","6466508.17632"
"2020",NULL,"166419814.92002"
"2021","Aquatic Tuberous Vegetables","32411614.02876"
"2021","Cabbage","35469403.45161"
"2021","Capsicum","46896200.32732"
"2021","Edible Mushroom","43222688.64917"
"2021","Flower/Leaf Vegetables","90125931.24790"
"2021","Solanum","15941140.06330"
"2021",NULL,"264066977.76806"
"2022","Aquatic Tuberous Vegetables","25791406.87132"
"2022","Cabbage","27390192.50451"
"2022","Capsicum","60046200.43412"
"2022","Edible Mushroom","27437176.78692"
"2022","Flower/Leaf Vegetables","46068660.31669"
"2022","Solanum","17515512.87107"
"2022",NULL,"204249149.78463"
"2023","Aquatic Tuberous Vegetables","4977540.12111"
"2023","Cabbage","19734433.42841"
"2023","Capsicum","32398740.11850"
"2023","Edible Mushroom","19843823.81334"
"2023","Flower/Leaf Vegetables","35703284.23884"
"2023","Solanum","13561023.91321"
"2023",NULL,"126218845.63341"
