"year","category_name","total_quantity_sold"
"2020","Flower/Leaf Vegetables","39352.358"
"2020","Edible Mushroom","14661.432"
"2020","Capsicum","12192.205"
"2020","Cabbage","9433.005"
"2020","Aquatic Tuberous Vegetables","6202.954"
"2020","Solanum","4790.870"
"2021","Flower/Leaf Vegetables","58724.813"
"2021","Capsicum","23256.865"
"2021","Edible Mushroom","21934.427"
"2021","Aquatic Tuberous Vegetables","13110.471"
"2021","Cabbage","12701.861"
"2021","Solanum","7798.671"
"2022","Flower/Leaf Vegetables","67151.883"
"2022","Capsicum","34702.202"
"2022","Edible Mushroom","23362.408"
"2022","Aquatic Tuberous Vegetables","15761.166"
"2022","Cabbage","14163.164"
"2022","Solanum","6259.743"
"2023","Flower/Leaf Vegetables","33430.499"
"2023","Capsicum","21493.840"
"2023","Edible Mushroom","16173.459"
"2023","Aquatic Tuberous Vegetables","5532.961"
"2023","Cabbage","5491.747"
"2023","Solanum","3592.835"
